,RMC_LATITUDE,RMC_LONGITUDE,SAMPLE_TIMESTAMP,RMC_UTC_DATE,RMC_UTC_DATE_YMD,RMC_GROUND_SPEED,RMC_GROUND_WEEK
0,37.420715,126.598332,2021-05-08 08:39:00,083856.00,080521,0.022,139.7
1,37.420715,126.598332,2021-05-08 08:39:02,083858.00,080521,0.022,139.7
2,37.420715,126.598332,2021-05-08 08:39:04,083900.00,080521,0.017,139.7
3,37.420715,126.598332,2021-05-08 08:39:06,083903.00,080521,0.008,139.7
4,37.420715,126.598332,2021-05-08 08:39:09,083905.00,080521,0.009,139.7
5,37.420715,126.598332,2021-05-08 08:39:11,083907.00,080521,0.009,139.7
6,37.420715,126.59833,2021-05-08 08:39:13,083909.00,080521,0.009,139.7
7,37.420715,126.59833,2021-05-08 08:39:16,083912.00,080521,0.005,139.7
8,37.420715,126.59833,2021-05-08 08:39:18,083914.00,080521,0.011,139.7
9,37.420715,126.59833,2021-05-08 08:39:20,083916.00,080521,0.013,139.7
10,37.420715,126.59833,2021-05-08 08:39:22,083919.00,080521,0.017,139.7
11,37.420715,126.59833,2021-05-08 08:39:25,083921.00,080521,0.012,139.7
12,37.420715,126.59833,2021-05-08 08:39:27,083923.00,080521,0.014,139.7
13,37.420715,126.59833,2021-05-08 08:39:29,083926.00,080521,0.015,139.7
14,37.420715,126.59833,2021-05-08 08:39:31,083928.00,080521,0.016,139.7
15,37.420715,126.59833,2021-05-08 08:39:34,083930.00,080521,0.012,139.7
16,37.420715,126.598328,2021-05-08 08:39:36,083932.00,080521,0.011,139.7
17,37.420715,126.598328,2021-05-08 08:39:38,083935.00,080521,0.009,139.7
18,37.420715,126.598328,2021-05-08 08:39:40,083937.00,080521,0.006,139.7
19,37.420717,126.59833,2021-05-08 08:39:43,083939.00,080521,0.004,139.7
20,37.420717,126.59833,2021-05-08 08:39:45,083941.00,080521,0.013,139.7
21,37.420717,126.59833,2021-05-08 08:39:47,083943.00,080521,0.017,139.7
22,37.420717,126.59833,2021-05-08 08:39:49,083946.00,080521,0.036,139.7
23,37.420718,126.59833,2021-05-08 08:39:50,083947.00,080521,0.036,139.7
24,37.420718,126.59833,2021-05-08 08:39:52,083948.00,080521,0.039,139.7
25,37.420717,126.59833,2021-05-08 08:39:54,083951.00,080521,0.05,139.7
26,37.420715,126.59833,2021-05-08 08:39:56,083953.00,080521,0.059,139.7
27,37.420715,126.59833,2021-05-08 08:39:59,083955.00,080521,0.063,139.7
28,37.420733,126.598353,2021-05-08 08:41:02,084059.00,080521,0.168,139.7
29,37.420737,126.598355,2021-05-08 08:41:04,084101.00,080521,0.168,139.7
30,37.42074,126.598357,2021-05-08 08:41:07,084103.00,080521,0.185,139.7
31,37.42074,126.598358,2021-05-08 08:41:09,084105.00,080521,0.199,139.7
32,37.420742,126.59836,2021-05-08 08:41:11,084108.00,080521,0.21,28.9
33,37.420743,126.598362,2021-05-08 08:41:13,084110.00,080521,0.211,28.6
34,37.420742,126.598362,2021-05-08 08:41:16,084112.00,080521,0.208,28.4
35,37.42074,126.59836,2021-05-08 08:41:18,084114.00,080521,0.215,27.8
36,37.42074,126.598362,2021-05-08 08:41:20,084117.00,080521,0.225,27.1
37,37.420742,126.598363,2021-05-08 08:41:23,084119.00,080521,0.226,26.3
38,37.420743,126.598363,2021-05-08 08:41:25,084121.00,080521,0.233,24.2
39,37.420745,126.598365,2021-05-08 08:41:27,084123.00,080521,0.232,22.0
40,37.420748,126.598367,2021-05-08 08:41:29,084126.00,080521,0.239,18.1
41,37.420752,126.598367,2021-05-08 08:41:32,084128.00,080521,0.243,13.8
42,37.420753,126.598367,2021-05-08 08:41:34,084130.00,080521,0.248,10.3
